ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	CBGroupList	ExampleSit	ExpList	ExpList.Cycle	ExpList.Sample	GroupDescription	GroupNR	InstrMIP3.ACC	InstrMIP3.CRESP	InstrMIP3.DurationError	InstrMIP3.OnsetDelay	InstrMIP3.OnsetTime	InstrMIP3.OnsetToOnsetTime	InstrMIP3.RESP	InstrMIP3.RT	InstrMIP3.RTTime	IntExpList	IntExpList.Cycle	IntExpList.Sample	MoodDes	MoodDes2	MoodDes3	MoodDesLW	Procedure[Block]	resp	Running[Block]	Task	Trial	AffectGrid	AffectGrid.Cycle	AffectGrid.Sample	Arousal	MoodQuestions	MoodQuestions.Cycle	MoodQuestions.Sample	Pleasure	Procedure[Trial]	Question	QuestSlide.RESP	QuestSlide.RT	Running[Trial]
Mood	10	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">45711090583</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-10-1	60.004	1.0.0.399	1	-1532875084	Professional	2.0.10.356	2.0.10.356	03-08-2019	8-3-2019 12:20:32	13:20:32	2.0.10.252	2																	2	1	2					Mood		IntExpList		1	1	1	1	7				7	AffectGridProc				AffectGrid
Mood	10	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">45711090583</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-10-1	60.004	1.0.0.399	1	-1532875084	Professional	2.0.10.356	2.0.10.356	03-08-2019	8-3-2019 12:20:32	13:20:32	2.0.10.252	3	2	A relative of yours, with whom you’ve shared a close relationship, has been diagnosed with early-onset Alzheimers. Whereas (s)he used to be full of life and wisdom, you can see the passion fade away as (s)he forgets more and more, until eventually (s)he doesn’t even remember you and the great times you’ve had anymore. 	1	1	1	S	2	1		0	1	209173	600041		0	0				sad	Before we continue to the task, I, the experimenter, would like to assure you that at the end of the task, I will make sure you get back to a normal mood.	Are you still a bit down? The experiment leader has a nice little surprise for you. Hopefully it will make you feel a little better.  	a sad	MoodProc	?	ExpList	Music														
Mood	10	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">45711090583</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-10-1	60.004	1.0.0.399	1	-1532875084	Professional	2.0.10.356	2.0.10.356	03-08-2019	8-3-2019 12:20:32	13:20:32	2.0.10.252	4			2	1	2																			Mood	a	ExpList	Mood2	1	1	2	2	4				1	AffectGridProc				AffectGrid
Mood	10	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">45711090583</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-10-1	60.004	1.0.0.399	1	-1532875084	Professional	2.0.10.356	2.0.10.356	03-08-2019	8-3-2019 12:20:32	13:20:32	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	1					1	1	1		MoodQuestProc	How difficult did you find it to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	1	16347	MoodQuestions
Mood	10	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">45711090583</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-10-1	60.004	1.0.0.399	1	-1532875084	Professional	2.0.10.356	2.0.10.356	03-08-2019	8-3-2019 12:20:32	13:20:32	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	2					2	1	2		MoodQuestProc	How much did the example story help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	3	10833	MoodQuestions
Mood	10	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">45711090583</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-10-1	60.004	1.0.0.399	1	-1532875084	Professional	2.0.10.356	2.0.10.356	03-08-2019	8-3-2019 12:20:32	13:20:32	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	3					3	1	3		MoodQuestProc	How much did the music help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	7	7364	MoodQuestions
Mood	10	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">45711090583</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-10-1	60.004	1.0.0.399	1	-1532875084	Professional	2.0.10.356	2.0.10.356	03-08-2019	8-3-2019 12:20:32	13:20:32	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	4					4	1	4		MoodQuestProc	How much did your own memory help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	8	5937	MoodQuestions
Mood	10	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312675</Frequency><Timestamp dt:dt="r8">45711090583</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-08T12:20:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-10-1	60.004	1.0.0.399	1	-1532875084	Professional	2.0.10.356	2.0.10.356	03-08-2019	8-3-2019 12:20:32	13:20:32	2.0.10.252	6			4	1	4																			Mood	a	ExpList	Mood3	1	1	3	3	4				1	AffectGridProc				AffectGrid
Mood	100	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">4284402960</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-100-1	60.005	1.0.0.399	1	-9919126	Professional	2.0.10.356	2.0.10.356	03-15-2019	15-3-2019 8:13:28	09:13:28	2.0.10.252	1	2	A relative of yours, with whom you’ve shared a close relationship, has been diagnosed with early-onset Alzheimers. Whereas (s)he used to be full of life and wisdom, you can see the passion fade away as (s)he forgets more and more, until eventually (s)he doesn’t even remember you and the great times you’ve had anymore. 				S	2										1	1	1	sad	Before we continue to the task, I, the experimenter, would like to assure you that at the end of the task, I will make sure you get back to a normal mood.	Are you still a bit down? The experiment leader has a nice little surprise for you. Hopefully it will make you feel a little better.  	a sad	InitializeProc		IntExpList															
Mood	100	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">4284402960</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-100-1	60.005	1.0.0.399	1	-9919126	Professional	2.0.10.356	2.0.10.356	03-15-2019	15-3-2019 8:13:28	09:13:28	2.0.10.252	2																	2	1	2					Mood		IntExpList		1	1	1	1	5				6	AffectGridProc				AffectGrid
Mood	100	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">4284402960</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-100-1	60.005	1.0.0.399	1	-9919126	Professional	2.0.10.356	2.0.10.356	03-15-2019	15-3-2019 8:13:28	09:13:28	2.0.10.252	3	2	A relative of yours, with whom you’ve shared a close relationship, has been diagnosed with early-onset Alzheimers. Whereas (s)he used to be full of life and wisdom, you can see the passion fade away as (s)he forgets more and more, until eventually (s)he doesn’t even remember you and the great times you’ve had anymore. 	1	1	1	S	2	1		0	1	71411	600037		0	0				sad	Before we continue to the task, I, the experimenter, would like to assure you that at the end of the task, I will make sure you get back to a normal mood.	Are you still a bit down? The experiment leader has a nice little surprise for you. Hopefully it will make you feel a little better.  	a sad	MoodProc	?	ExpList	Music														
Mood	100	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">4284402960</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-100-1	60.005	1.0.0.399	1	-9919126	Professional	2.0.10.356	2.0.10.356	03-15-2019	15-3-2019 8:13:28	09:13:28	2.0.10.252	4			2	1	2																			Mood	a	ExpList	Mood2	1	1	2	2	4				2	AffectGridProc				AffectGrid
Mood	100	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">4284402960</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-100-1	60.005	1.0.0.399	1	-9919126	Professional	2.0.10.356	2.0.10.356	03-15-2019	15-3-2019 8:13:28	09:13:28	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	1					1	1	1		MoodQuestProc	How difficult did you find it to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	5	12482	MoodQuestions
Mood	100	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">4284402960</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-100-1	60.005	1.0.0.399	1	-9919126	Professional	2.0.10.356	2.0.10.356	03-15-2019	15-3-2019 8:13:28	09:13:28	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	2					2	1	2		MoodQuestProc	How much did the example story help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	6	9907	MoodQuestions
Mood	100	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">4284402960</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-100-1	60.005	1.0.0.399	1	-9919126	Professional	2.0.10.356	2.0.10.356	03-15-2019	15-3-2019 8:13:28	09:13:28	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	3					3	1	3		MoodQuestProc	How much did the music help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	7	2003	MoodQuestions
Mood	100	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">4284402960</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-100-1	60.005	1.0.0.399	1	-9919126	Professional	2.0.10.356	2.0.10.356	03-15-2019	15-3-2019 8:13:28	09:13:28	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	4					4	1	4		MoodQuestProc	How much did your own memory help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	7	3542	MoodQuestions
Mood	100	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">4284402960</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-15T08:13:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-100-1	60.005	1.0.0.399	1	-9919126	Professional	2.0.10.356	2.0.10.356	03-15-2019	15-3-2019 8:13:28	09:13:28	2.0.10.252	6			4	1	4																			Mood	a	ExpList	Mood3	1	1	3	3	4				2	AffectGridProc				AffectGrid
